Trader,HFT,MIX,NON HFT,Sum,type
Elliott,0.040796112,0.100697935,0.85850596,42,NON HFT
Emperor Belos,0.011753783,0.02347619,0.96477,1492,NON HFT
Evinrude,0.9708455,0.013938317,0.015216156,2080,HFT
Fairy Mary,0.07803309,0.14716916,0.77479774,1,NON HFT
Fidget,0.022125456,0.95112425,0.026750285,2121,MIX
Flash,0.02983302,0.8648894,0.10527758,2045,MIX
Flora,0.011642948,0.96159595,0.026761128,1824,MIX
Flounder,0.02779166,0.9306422,0.041566133,2015,MIX
Flunkey the Baboon,0.19372343,0.17893808,0.62733847,1,NON HFT
Francis,0.9687688,0.025733322,0.0054978738,1519,HFT
Friend Owl,0.10722333,0.2506492,0.64212745,372,NON HFT
Mad Hatter,0.75665885,0.19637607,0.046965104,1230,HFT
Madame Medusa,0.016778111,0.969221,0.014000904,1610,MIX
Maddie Flour,0.03746617,0.07829178,0.88424206,10,NON HFT
Magic Carpet,0.09615542,0.06331837,0.8405262,66,NON HFT
Major the Horse,0.047762502,0.36863098,0.5836065,13,NON HFT
Marahute,0.9820274,0.013202982,0.0047696205,1187,HFT
March Hare,0.025080672,0.29250297,0.6824164,299,NON HFT
Marlon the Alligator,0.025451824,0.051681317,0.9228669,32,NON HFT
Mary Darling,0.047158096,0.17728387,0.775558,17,NON HFT
Mattholomule,0.048290197,0.060197253,0.8915126,171,NON HFT
Maui,0.53326833,0.15999424,0.30673742,1,HFT
Max the Sheepdog,0.03806347,0.9470679,0.014868616,2113,MIX
Megavolt,0.012169424,0.9769006,0.010929997,2108,MIX
Melpomene,0.9868773,0.0064331377,0.0066895117,710,HFT
Merlock the Magician,0.11196585,0.14643548,0.74159867,292,NON HFT
Mike the Microphone,0.37067956,0.40491107,0.22440937,50,MIX
Miss Bianca,0.04329094,0.11486081,0.84184825,25,NON HFT
Miss Nettle,0.011939571,0.029696474,0.95836395,905,NON HFT
Moana,0.018862056,0.051703554,0.9294344,32,NON HFT
Monstro,0.10564902,0.80898166,0.08536933,4,MIX
Morgana,0.037693933,0.9243256,0.037980475,374,MIX
The Doorknob,0.7637148,0.16228786,0.073997356,152,HFT
The Doorman,0.9690815,0.02055828,0.010360186,2100,HFT
The Magic Mirror,0.009129614,0.98427933,0.00659103,2116,MIX
